Timestamp (UTC),Rainfall (mm)
2025-09-29T15:00:00Z,0
2025-09-29T16:00:00Z,0
2025-09-29T17:00:00Z,0
2025-09-29T18:00:00Z,0
2025-09-29T19:00:00Z,0
2025-09-29T20:00:00Z,0
2025-09-29T21:00:00Z,0
2025-09-29T22:00:00Z,0
2025-09-29T23:00:00Z,0
2025-09-30T00:00:00Z,0
2025-09-30T01:00:00Z,0
2025-09-30T02:00:00Z,0
2025-09-30T03:00:00Z,0
2025-09-30T04:00:00Z,0
2025-09-30T05:00:00Z,0
2025-09-30T06:00:00Z,0
2025-09-30T07:00:00Z,0
2025-09-30T08:00:00Z,0
2025-09-30T09:00:00Z,0
2025-09-30T10:00:00Z,0
2025-09-30T11:00:00Z,0
2025-09-30T12:00:00Z,0
2025-10-01T09:00:00Z,0.1
2025-10-01T10:00:00Z,0.2
2025-10-01T10:45:00Z,0
2025-10-01T11:30:00Z,0
2025-10-01T12:15:00Z,0
2025-10-01T13:00:00Z,0
2025-10-01T13:45:00Z,0
2025-10-01T14:30:00Z,0
2025-10-01T15:15:00Z,0
2025-10-01T16:00:00Z,0
2025-10-01T16:45:00Z,0
2025-10-01T17:30:00Z,0
2025-10-01T18:15:00Z,0
2025-10-01T19:00:00Z,0
2025-10-01T19:45:00Z,0
2025-10-01T20:30:00Z,0
2025-10-01T21:15:00Z,0
2025-10-01T22:00:00Z,0
2025-10-01T22:45:00Z,0
2025-10-01T23:30:00Z,0
2025-10-02T00:15:00Z,0
2025-10-02T01:00:00Z,0
2025-10-02T01:45:00Z,0
2025-10-02T02:30:00Z,0
2025-10-02T03:15:00Z,0
2025-10-02T04:00:00Z,0
2025-10-02T04:45:00Z,0
2025-10-02T05:30:00Z,0
2025-10-02T06:15:00Z,0
2025-10-02T07:00:00Z,0
2025-10-02T07:45:00Z,0
2025-10-02T08:30:00Z,0
2025-10-02T09:15:00Z,0
2025-10-02T10:00:00Z,0
2025-10-02T10:45:00Z,0
2025-10-02T11:30:00Z,0
2025-10-02T12:15:00Z,0
2025-10-02T13:00:00Z,0
2025-10-02T13:45:00Z,0
2025-10-02T14:30:00Z,0
2025-10-02T15:15:00Z,0
2025-10-02T16:00:00Z,0
2025-10-02T16:45:00Z,0
2025-10-02T17:30:00Z,0
2025-10-02T18:15:00Z,0
2025-10-02T19:00:00Z,0
2025-10-02T19:45:00Z,0
2025-10-02T20:30:00Z,0
2025-10-02T21:15:00Z,0
2025-10-02T22:00:00Z,0
2025-10-02T22:45:00Z,0
2025-10-02T23:30:00Z,0
2025-10-03T00:15:00Z,0
2025-10-03T01:00:00Z,0
2025-10-03T01:45:00Z,0
2025-10-03T02:30:00Z,0
2025-10-03T03:15:00Z,0
2025-10-03T04:00:00Z,0
2025-10-03T04:45:00Z,0
2025-10-03T05:30:00Z,0
2025-10-03T06:15:00Z,0
2025-10-03T07:00:00Z,0
2025-10-03T07:45:00Z,0
2025-10-03T08:30:00Z,0
2025-10-03T09:15:00Z,0
2025-10-03T10:00:00Z,0
2025-10-03T10:45:00Z,0
2025-10-03T11:30:00Z,0
2025-10-03T12:15:00Z,0
2025-10-03T13:00:00Z,0
2025-10-03T13:45:00Z,0
2025-10-03T14:30:00Z,0
2025-10-03T15:15:00Z,0
2025-10-03T16:00:00Z,0
2025-10-03T16:45:00Z,0
2025-10-03T17:30:00Z,0
2025-10-03T18:15:00Z,0
2025-10-03T19:00:00Z,0
2025-10-03T19:45:00Z,0
2025-10-03T20:30:00Z,0
2025-10-03T21:15:00Z,0
2025-10-03T22:00:00Z,0
2025-10-03T22:45:00Z,0
2025-10-03T23:30:00Z,0
2025-10-04T00:15:00Z,0
2025-10-04T01:00:00Z,0
2025-10-04T01:45:00Z,0
2025-10-04T02:30:00Z,0
2025-10-04T03:15:00Z,0
2025-10-04T04:00:00Z,0
2025-10-04T04:45:00Z,0
2025-10-04T05:30:00Z,0
2025-10-04T06:15:00Z,0
2025-10-04T07:00:00Z,0
2025-10-04T07:45:00Z,0
2025-10-04T08:30:00Z,0
2025-10-04T09:15:00Z,0
2025-10-04T10:00:00Z,0
